Potential [ V],di [µA/]
-0.903249979,88.78709923
-0.902800024,88.84719864
-0.902350008,88.92209735
-0.901899993,88.88830052
-0.901449978,88.80060341
-0.901000023,88.84350245
-0.900550008,88.79019879
-0.900099993,88.72569742
-0.899649978,88.71409955
-0.899200022,88.75210187
-0.898750007,88.69259909
-0.898299992,88.67910219
-0.897849977,88.63859694
-0.897400022,88.6238995
-0.896950006,88.57910143
-0.896499991,88.56070053
-0.896049976,88.59510126
-0.895600021,88.67539873
-0.895150006,88.7221031
-0.894699991,88.80120004
-0.894249976,88.82209659
-0.89380002,88.74289779
-0.893350005,88.70859892
-0.89289999,88.70979946
-0.892449975,88.66559801
-0.89200002,88.76190259
-0.891550004,88.94599887
-0.891099989,89.05830327
-0.890649974,89.1551972
-0.890200019,89.24290159
-0.889750004,89.21160043
-0.889299989,89.14720092
-0.888849974,89.04290007
-0.888400018,88.88530283
-0.887950003,88.73189654
-0.887499988,88.65889686
-0.887049973,88.55890337
-0.886600018,88.64419942
-0.886150002,88.82019756
-0.885699987,89.04169954
-0.885249972,89.1551972
-0.884800017,89.31959746
-0.884350002,89.28099851
-0.883899987,89.20669643
-0.883449972,89.12140038
-0.883000016,89.13680358
-0.882550001,89.04169954
-0.882099986,89.06870062
-0.881649971,89.03739945
-0.881200016,89.03250273
-0.88075,89.00860121
-0.880299985,89.12509657
-0.87984997,89.22570123
-0.879400015,89.44910223
-0.87895,89.67539907
-0.878499985,89.83069711
-0.878050029,89.88100308
-0.877600014,89.84540182
-0.877149999,89.71780335
-0.876699984,89.56009697
-0.876250029,89.47360038
-0.875800014,89.43000284
-0.875349998,89.45640002
-0.874899983,89.52330245
-0.874450028,89.57109821
-0.874000013,89.64289736
-0.873549998,89.74540106
-0.873099983,89.88960326
-0.872650027,90.02940351
-0.872200012,90.20369907
-0.871749997,90.32509843
-0.871299982,90.39510041
-0.870850027,90.30920046
-0.870400012,90.17180128
-0.869949996,90.02759907
-0.869499981,89.90550123
-0.869050026,89.81290011
-0.868600011,89.83370208
-0.868149996,89.87049659
-0.867699981,89.90489732
-0.867250025,89.91159848
-0.86680001,89.91530194
-0.866349995,89.95830285
-0.86589998,90.030102
-0.865450025,90.0435989
-0.86500001,90.08590132
-0.864549994,90.12580267
-0.864099979,90.11840302
-0.863650024,90.0790983
-0.863200009,90.06619803
-0.862749994,90.05089669
-0.862299979,90.08099732
-0.861850023,90.12270311
-0.861400008,90.28399654
-0.860949993,90.51780216
-0.860499978,90.80120071
-0.860050023,91.02079639
-0.859600008,91.25390352
